quote	author
Startups are painful, stressful and at times demoralizing. You need to be a true believer in the vision of what you are doing. You need to passionate about it and love what you’re doing. If you don’t, there is no way you can sustain the hours, stress and disappointment. There’s no way you’re going to be able to convince investors, customers and most importantly recruit a world-class team if you not building something you think is going to change the world.	Steve Blank
Business plans are the tool existing companies use for execution. They are the wrong tool to search for a business model.	Steve Blank
A startup is a temporary organization designed to search for a repeatable and scalable business model.	Steve Blank
For truly visionary founders ‘seeing things that could be’ means more than just a standalone product—it means a world transformed.	Steve Blank
A startup is not about executing a series of knowns. Most startups are facing a series of unknowns—unknown customer segments, unknown customer needs, unknown product feature set, etc.	Steve Blank
…some small segment of founders are truly artists—they see something no one else does. These entrepreneurs are the ones who want to change ‘what is’ and turn it into ‘what can be.’ These founders create new ideas and new markets by pushing the boundaries. This concept of creating something that few others see—and the reality distortion field necessary to recruit the team to build it—is at the heart of what these founders do.	Steve Blank
What matters is having forward momentum and a tight fact-based data/metrics feedback loop to help you quickly recognize and reverse any incorrect decisions. That’s why startups are agile. By the time a big company gets the committee to organize the subcommittee to pick a meeting date, your startup could have made 20 decisions, reversed five of them and implemented the fifteen that worked.	Steve Blank
The company that consistently makes and implements decisions rapidly gains a tremendous, often decisive, competitive advantage.	Steve Blank
No business plan survives first contact with a customer.	Steve Blank
Don’t compromise.	Steve Jobs
Raise brands as you’d raise a child.	Tiffany Sauder
If you want to change the world, you don’t need to open a factory. You just need to open a laptop.	Alexis Ohanian
You should take as much time as possible to make your product perfect.	Shana Fisher
Willingness to be misunderstood is one of our greatest strengths.	Jeff Bezos
Once you have a core product, the goals should be growth, monetization, and happiness.	Brian Watsons
The best products are “simple, but perfect.” Make it quick, easy, and delightful for your customers.	Brian Watsons
There are many approaches to product management. Some companies start with design and move to engineering; others write a “press release” and then build the product; others brainstorm and prioritize. Do what feels right for your organization.	Brian Watsons
Don’t be afraid to share your important stats with your users.	Brian Watsons
Constraints lead to creativity. You’re most creative in 140 characters and when your company is running out of runway.	Brian Watsons
Kill features. Edit. Remove an old feature for each one you add.	Brian Watsons
All VCs have low attention spans. Use no more than 10-15 slides in a partnership meeting.	Brian Watsons
Raising money is a trade-off between valuation and control.	Brian Watsons
Being selective — doing less—keeps you focused.	Brian Watsons
Research in public. Open-source your ideas, and let the world help you build them.	Brian Watsons
Don’t be afraid to respectfully say no to things. You shouldn’t waste someone’s time if you’re not the right fit for each other.	Brian Watsons
Aspirations can’t be measured; goals can. Theoretically, aspirations lead to goals. Set them, and track against them.	Brian Watsons
Being a successful VC is as simple as having the conviction to believe in something when everyone else doesn’t. You have to be right when everyone is wrong.	Brian Watsons
If you have an idea and publish it on the internet, that counts as a ghost of done.	Bre Pettis
Failure counts as done. So do mistakes.	Bre Pettis
People without dirty hands are wrong. Doing something makes you right.	Bre Pettis
Laugh at perfection. It’s boring and keeps you from being done.	Bre Pettis
Banish procrastination. If you wait more than a week to get an idea done, abandon it.	Bre Pettis
Pretending you know what you’re doing is almost the same as knowing what you are doing, so just accept that you know what you’re doing even if you don’t and do it.	Bre Pettis
Accept that everything is a draft. It helps to get it done.	Bre Pettis
There are three states of being. Not knowing, action and completion.	Bre Pettis
You may not be a Picasso or Mozart but you don’t have to be. Just create to create. Create to remind yourself you’re still alive. Make stuff to inspire others to make something too. Create to learn a bit more about yourself.	Frederic Terral
When you’re a one man show, you have to focus on the most important thing to get done today.	Noah Everett
There is no luck, you work hard and study things intently. If you do that for long and hard enough you’re successful.	Jason Calacanis
Trust your instincts.	Estée Lauder
The first rule of organizational design is that all organizational designs are bad.	Ben Horowitz
Losing is just a step on the path toward winning	Unknown
Innovation is almost insane by definition: most people view any truly innovative idea as stupid, because if it was a good idea, somebody would have already done it.	Success is a few simple disciplines, practiced every day; while failure is simply a few errors in judgment, repeated every day.	Jim Rohn
The technology business is fundamentally the innovation business. Etymologically, the word technology means “a better way of doing things.” As a result, innovation is the core competency for technology companies. Technology companies are born because they create a better way of doing things. Eventually, someone else will come up with a better way. Therefore, if a technology company ceases to innovate, it will die.	Ben Horowitz
In the beginning, the focus of a startup must be on building a great product and finding product market fit. During this period, there is no glamour and very little breadth—the company must be narrow.	Ben Horowitz
In order to build a great technology company, you have to hire lots of incredibly smart people.	Ben Horowitz
My single biggest personal improvement as CEO occurred on the day when I stopped being too positive.	Ben Horowitz
The top two priorities are always to: 1)Find the product that 1,000 enterprise or 50 million consumers want to buy and grab those customers before your competitors do. 2) Raise enough cash and spend it intelligently so that you don’t go broke along the way.	Ben Horowitz
There are only two priorities for a start-up: winning the market and not running out of cash. Running lean is not an end.	Ben Horowitz
What makes people want to follow a leader: 1) The ability to articulate the vision. 2) The right kind of ambition. 3) The ability to achieve the vision.	Ben Horowitz
Truly great leaders create an environment where the employees feel that the CEO cares much more about the employees than she cares about herself. In this kind of environment, an amazing thing happens: a huge number of the employees believe that it’s their company and behave accordingly.	Ben Horowitz
You have achieved excellence as a leader when people will follow you anywhere if only out of curiosity.	Colin Powell
Planning is valuable, though the plan is usually useless.	Ben Horowitz
The only surefire antidote to capital market climate change is positive cash flow. If you generate cash, investors mean nothing. If you do not, then your success will depend upon the kindness of strangers.	Ben Horowitz
If investors wake up one day & think you are toast, you are indeed toast.	Ben Horowitz
As a startup CEO, I slept like a baby. I woke up every 2 hours and cried.	Ben Horowitz
The technology startup world is where brilliant people come to imagine the impossible.	Ben Horowitz
I follow the principle of the Bushido – the way of the warrior: keep death in mind at all times. If a warrior keeps death in mind at all times and lives as though each day might be his last, he will conduct himself properly in all his actions.	Ben Horowitz
A manager can’t act like a role model. They need to BE a role model.	Ben Horowitz
The trouble with innovation is that truly innovative ideas often look like bad ideas at the time.	Ben Horowitz
Think for yourself and go build it.	Ben Horowitz
Some employees make products, some make sales; the CEO makes decisions.	Ben Horowitz
“We take care of the people, the products, and the profits — in that order.” It’s a simple saying, but it’s deep. “Taking care of the people” is the most difficult of the three by far and if you don’t do it, the other two won’t matter. Taking care of the people means that your company is a good place to work.	Ben Horowitz
Too often the investment in people stops there.	Ben Horowitz
If you run a company, you will experience overwhelming psychological pressure to be overly positive. Stand up to the pressure, face your fear, and tell it like it is.	Ben Horowitz
Remember that this is what separates the women from the girls. If you want to be great, this is the challenge. If you don’t want to be great, then you never should have started a company.	Ben Horowitz
Spend zero time on what you could have done, and devote all of your time on what you might do. Because in the end, nobody cares; just run your company.	Ben Horowitz
Once you begin your process, keep in mind that you are looking for a market of one. You don’t need every investor to believe that you can succeed. You only need one. If 20 investors tell you “no,” that does not mean that there is no market for your deal. You just need one to say yes, and she will erase all 20 no’s.	Ben Horowitz
One of the great things about building a tech company is the amazing people that you can hire.	Ben Horowitz
An early lesson I learned in my career was that whenever a large organization attempts to do anything, it always comes down to a single person who can delay the entire project.	Ben Horowitz
There are no shortcuts to knowledge, especially knowledge gained from personal experience. Following conventional wisdom and relying on shortcuts can be worse than knowing nothing at all.	Ben Horowitz
Exploration is really the essence of the human spirit.	Frank Borman
Ideas are easy. It’s the execution of ideas that really separates the sheep from the goats.	Sue Grafton
Nobody is born knowing how to be a CEO – it’s a learned skill and unfortunately you learn it on the job.	Ben Horowitz
When it comes to business success, it is all about people, people, people. When it comes to developing successful people, it is all about fun, fun, fun!	Richard Branson
Risk comes from not knowing what you are doing.	Warren Buffett
When you hire someone, ask how they are going to push the company forward. Because companies don’t do things, people do things.	Tom Preston-Werner
A perfect implementation of the wrong specification is worthless. By the same principle a beautifully crafted library with no documentation is also damn near worthless. If your software solves the wrong problem or nobody can figure out how to use it, there’s something very bad going on.	Tom Preston-Werner
The time to start iterating the product is if, and only if, sufficient customers tell you your problem hypotheses are incorrect or point out features you missed that would cause them not to buy.	Steve Blank
In a startup the role of Customer Development is to: test the founders hypothesis about the customer problem; test if the product concept and minimum feature set solve that problem.	Steve Blank
Success is when reality looks like what’s in our imagination.	Simon Sinek
Not sitting on a large pool of capital keeps you scared as $@#! ― which makes you hungrier, more creative and more resourceful.	Jeremy Smith
The best time to raise capital is once you have worked out a lot of the issues and you can easily say, ‘If you invest X, I can turn it into Y.’	Rachael Qualls
Get out there, make some mistakes, learn from them…. And win	Ben Wiener
It’s fine to celebrate success but it is more important to heed the lessons of failure.	Bill Gates
If you’re going to put your product in beta – put your business model in beta with it.	Joe Kraus
Wonder what your customer really wants? Ask. Don’t tell.	Lisa Stone
Design is not just what it looks like and feels like. Design is how it works.	Steve Jobs
Theory is splendid but until put into practice, it is valueless.	James Cash Penney
You just have to pay attention to what people need and what has not been done.	Russell Simmons
You don’t learn to walk by following rules. You learn by doing and falling over.	Richard Branson
Always deliver more than expected.	Larry Page
The way to get started is to quit talking and begin doing.	Walt Disney
Risk more than others think is safe. Dream more than others think is practical.	Howard Schultz
Fearlessness is like a muscle. I know from my own life that the more I exercise it the more natural it becomes to not let my fears run me.	Arianna Huffington
I don’t look to jump over 7-foot bars — I look for 1-foot bars that I can step over.	Warren Buffett
All humans are entrepreneurs not because they should start companies but because the will to create is encoded in human DNA.	Reid Hoffman
I knew that if I failed I wouldn’t regret that, but I knew the one thing I might regret is not trying.	Jeff Bezos
Don’t worry about funding if you don’t need it. Today it’s cheaper to start a business than ever.	Noah Everett
It’s more effective to do something valuable than to hope a logo or name will say it for you.	Jason Cohen
You can’t make anything viral, but you can make something good.	Peter Shankman
I try not to make any decisions that I’m not excited about.	Jake Nickel
When I’m old and dying, I plan to look back on my life and say ‘wow, that was an adventure,’ not ‘wow, I sure felt safe.’	Tom Preston-Werner
The only thing worse than starting something and failing… is not starting something.	Seth Godin
Stay self-funded as long as possible.	Garrett Camp
Every day that we spent not improving our products was a wasted day.	Joel Spolsky
Ideas are easy. Implementation is hard.	Guy Kawasaki
Don’t play games that you don’t understand, even if you see lots of other people making money from them.	Tony Hsieh
If you’re interested in the living heart of what you do, focus on building things rather than talking about them.	Ryan Freitas
Don’t try to be original, just try to be good.	Paul Rand
Nothing works better than just improving your product.	Joel Spolsky
If there’s something you want to build, but the tech isn’t there yet, just find the closest possible way to make it happen.	Dennis Crowley
Get five or six of your smartest friends in a room and ask them to rate your idea.	Mark Pincus
There’s nothing wrong with staying small. You can do big things with a small team.	Jason Fried
It’s not about ideas. It’s about making ideas happen.	Scott Belsky
Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do.	Steve Jobs
Chase the vision, not the money, the money will end up following you.	Tony Hsieh
Your reputation is more important than your paycheck, and your integrity is worth more than your career.	Ryan Freitas
Selling to people who actually want to hear from you is more effective than interrupting strangers who don’t.	Seth Godin
The ability to change fast is the single most important asset in a world that’s changing fast.	Seth Godin
Passion isn’t project-specific. It’s people-specific.	Seth Godin
The scalable, profitable strategy is to change the game, not to become the most average.	Seth Godin
Don’t have any meetings about your web strategy. Just do stuff. First you have to fail, then you can improve.	Seth Godin
If there was ever a moment to follow your passion and do work that matters, this is it.	Seth Godin
Successful people are the ones who are breaking the rules.	Seth Godin
If you make a difference, people will gravitate to you. They want to engage, to interact and to get you more involved.	Seth Godin
Big ideas are little ideas that no-one killed too soon.	Seth Godin
You can’t have good ideas unless you’re willing to generate a lot of bad ones.	Seth Godin
If there isn’t a good reason, go home. If there is, then do something … loud, now, and memorable.	Seth Godin
Becoming a superstar takes about 10,000 hours of hard work.	Seth Godin
Change is not a threat, it’s an opportunity. Survival is not the goal, transformative success is.	Seth Godin
Knowing what to do is very, very different than actually doing it.	Seth Godin
If you want to dig a big hole, you need to stay in one place.	Seth Godin
The best time to do great customer service is when a customer is upset.	Seth Godin
Playing safe is very risky.	Seth Godin
One way to think about running a successful business is to figure out what the least you can do is, and do that.	Seth Godin
Everyone is not your customer.	Seth Godin
Ideas in secret die. They need light and air or they starve to death.	Seth Godin
Go ahead, do something impossible.	Seth Godin
Are you a serial idea-starting person? The goal is to be an idea-shipping person.	Seth Godin
People don’t want to change their worldview. They like it, they embrace it and they want it to be reinforced.	Seth Godin
Stop advertising and start innovating.	Seth Godin
I don’t think there’s a shortage of remarkable ideas. I think your business has plenty of great opportunities to do great things. Nope, what’s missing isn’t the ideas. It’s the will to execute them.	Seth Godin
Don’t try to make a product for everybody, because that is a product for nobody.	Seth Godin
The people who are the best in the world specialize at getting really good at the questions they don’t know.	Seth Godin
If you are deliberately trying to create a future that feels safe, you will willfully ignore the future that is likely.	Seth Godin
Instead of wondering when your next vacation is, maybe you should set up a life you don’t need to escape from.	Seth Godin
Imagine that the world had no middlemen, no publishers, no bosses, no HR folks, no one telling you what you couldn’t do. If you lived in that world, what would you do? Go. Do that.	Seth Godin
You are not your resume, you are your work.	Seth Godin
Make a decision. It doesn’t have to be a wise decision or a perfect one. Just make one.	Seth Godin
Hard work is about risk. It begins when you deal with the things that you’d rather not deal with: fear of failure, fear of standing out, fear of rejection. Hard work is about training yourself to leap over this barrier, tunnel under that barrier, drive through the other barrier. And after you’ve done that, to do it again the next day.	Seth Godin
You have everything you need to build something far bigger than yourself.	Seth Godin
The cost of being wrong is less than the cost of doing nothing.	Seth Godin
A startup messed up at its foundation cannot be fixed.	Peter Thiel
It’s a really good time to be an entrepreneur. If you have a halfway decent idea, you can get it completely funded.	Peter Thiel
There is perhaps no specific time that is necessarily right to start your company or start your life. But some times and some moments seem more auspicious than others. Now is such a moment. If we don’t take charge and usher in the future—if you don’t take charge of your life—there is the sense that no one else will.	Peter Thiel
Show me a good loser and I’ll show you a loser.	Vince Lombardi
It seems like we’ve not been thinking about the right issues for a long time. I actually think it is a big step just to ask the question “What does one need to do to make the U.S. a better place?”	Peter Thiel
As an investor-entrepreneur, I’ve always tried to be contrarian, to go against the crowd, to identify opportunities in places where people are not looking.	Peter Thiel
‘There are still many large white spaces on the map of human knowledge. You can go discover them. So do it. Get out there and fill in the blank spaces. Every single moment is a possibility to go to these new places and explore them.	Peter Thiel
Your mind is software. Program it. Your body is a shell. Change it. Death is a disease. Cure it. Extinction is approaching. Fight it.	Peter Thiel
We’re trying to build a sustainable company that’s here for the next 100 years.	Jan Koum
A lot of times, people start out with a lot of good ideas, but then they don’t execute. They lose the purity of their vision. You end up running around in circles.	Jan Koum
Anybody can build a company and sell the company the next day. That doesn’t make you special, it doesn’t make you unique, it doesn’t make you all that great.	Jan Koum
Customer service shouldn’t be a department. It should be the entire company.	Tony Hsieh
The best way to complain is to make things.	James Murphy
You don’t have to hold a position in order to be a leader.	Henry Ford
The best thing about building things is that they’re never used exactly how you expect them to be.	Danielle Morrill
Don’t let people tell you your ideas are stupid. If you’re really passionate about something, find a way to build it.	Dennis Crowley
The trick isn’t adding stuff, it’s taking away.	Mark Zuckerberg
The demands and the amount of work that it takes to put something like [Facebook] into place, it’s just so much that if you weren’t completely into what you were doing and you didn’t think it was an important thing, then it would be irrational to spend that much time on it.	Mark Zuckerberg
Companies getting started now that are just trying to copy what other people are doing aren’t successful.	Mark Zuckerberg
One of the lessons is…do something fundamental. A lot of companies I see are operating on small problems, and that’s fine if you want to be an entrepreneur, but the most interesting things operate on a fundamental level.	Mark Zuckerberg
Serving more people, increasing your customer base and making them more deeply engaged is by itself good business.	Mark Zuckerberg
Done is better than perfect.	Mark Zuckerberg
Move fast and break things.	Mark Zuckerberg
I have this fear of getting locked into doing things that are not the most impactful things you can do.	Mark Zuckerberg
Simply put: we don’t build services to make money; we make money to build better services. And we think this is a good way to build something.	Mark Zuckerberg
My friends are people who like building cool stuff. We always have this joke about people who want to just start companies without making something valuable. There’s a lot of that in Silicon Valley.	Mark Zuckerberg
I believe that over time, people get remembered for what they build, and if you build something great, people don’t care about what someone says about you in a movie…	Mark Zuckerberg
We look for people who are passionate about something. In a way, it almost doesn’t matter what you’re passionate about. What we really look for when we’re interviewing people is what they’ve shown an initiative to do on their own.	Mark Zuckerberg
I think as a company, if you can get those two things right — having a clear direction on what you are trying to do and bringing in great people who can execute on the stuff — then you can do pretty well.	Mark Zuckerberg
There’s a hacker mantra that you’ll hear a lot around Facebook offices: ‘Code wins arguments.’	Mark Zuckerberg
The Hacker Way is an approach to building that involves continuous improvement and iteration. Hackers believe that something can always be better, and that nothing is ever complete. They just have to go fix it — often in the face of people who say it’s impossible or are content with the status quo…	Mark Zuckerberg
I’m here to build something for the long-term. Anything else is a distraction.	Mark Zuckerberg
The question I ask myself like almost every day is, ‘Am I doing the most important thing I could be doing?’… Unless I feel like I’m working on the most important problem that I can help with, then I’m not going to feel good about how I’m spending my time. And that’s what this company is.	Mark Zuckerberg
Find that thing you are super passionate about. A lot of founding principles of Facebook are that if people have access to more information and are more connected, it will make the world better; people will have more understanding, more empathy. That’s the guiding principle for me. On hard days, I really just step back, and that’s the thing that keeps me going.	Mark Zuckerberg
People can be really smart or have skills that are directly applicable, but if they don’t really believe in it, then they are not going to really work hard.	Mark Zuckerberg
All of my friends who have younger siblings who are going to college or high school – my number one piece of advice is: You should learn how to program.	Mark Zuckerberg
In terms of doing work and in terms of learning and evolving as a person, you just grow more when you get more people’s perspectives… I really try and live the mission of the company and… keep everything else in my life extremely simple.	Mark Zuckerberg
My goal was never to just create a company. A lot of people misinterpret that, as if I don’t care about revenue or profit or any of those things. But what not being just a company means to me is not being just that – building something that actually makes a really big change in the world.	Mark Zuckerberg
Move fast and break things. Unless you are breaking stuff, you are not moving fast enough.	Mark Zuckerberg
The companies that work are the ones that people really care about and have a vision for the world so do something you like.	Mark Zuckerberg
The real story of Facebook is just that we’ve worked so hard for all this time. I mean, the real story is actually probably pretty boring, right? I mean, we just sat at our computers for six years and coded.	Mark Zuckerberg
I think a simple rule of business is, if you do the things that are easier first, then you can actually make a lot of progress.	Mark Zuckerberg
Facebook was not originally created to be a company. It was built to accomplish a social mission – to make the world more open and connected.	Mark Zuckerberg
It’s hard to keep things moving. And that’s always a big trick. I think for me, the key is setting really big goals.	Larry Page
If you have a product that’s really gaining a lot of usage, then it’s probably a good idea.	Larry Page
You don’t need to have a 100-person company to develop that idea.	Larry Page
You never lose a dream. It just incubates as a hobby.	Larry Page
I think it is often easier to make progress on mega-ambitious dreams. Since no one else is crazy enough to do it, you have little competition. In fact, there are so few people this crazy that I feel like I know them all by first name.	Larry Page
Always work hard on something uncomfortably exciting.	Larry Page
It’s important that the company be a family, that people feel that they’re part of the company, and that the company is like a family to them. When you treat people that way, you get better productivity.	Larry Page
My job as a leader is to make sure everybody in the company has great opportunities, and that they feel they’re having a meaningful impact and are contributing to the good of society.	Larry Page
I would rather have people think we’re confused than let our competitors know what we’re going to do.	Larry Page
You need to invent things and you need to get them to people. You need to commercialize those inventions. Obviously, the best way we’ve come up with doing that is through companies.	Larry Page
I think part of the reason we’re successful so far is that originally we didn’t really want to start a business.	Larry Page
Invention is not enough. Tesla invented the electric power we use, but he struggled to get it out to people. You have to combine both things: invention and innovation focus, plus the company that can commercialize things and get them to people.	Larry Page
Lots of companies don’t succeed over time. What do they fundamentally do wrong? They usually miss the future.	Larry Page
We don’t have as many managers as we should, but we would rather have too few than too many.	Larry Page
Many leaders of big organizations, I think, don’t believe that change is possible. But if you look at history, things do change, and if your business is static, you’re likely to have issues.	Larry Page
If we were motivated by money, we would have sold the company a long time ago and ended up on a beach.	Larry Page
Know the philosophy, know the details, and ignore everything in the middle.	Gary Vaynerchuk
“Toothbrush test”: new products must be important enough that people will use them at least twice a day.	How to get business ideas: 1. Find a job people have. 2. List out every step people take to complete that job. 3. Remove as many steps as you can.	Nathan Kontny
Everyone wants to live on top of the mountain, but all the happiness and growth occurs while you’re climbing it.	Andy Rooney
There is only one boss: the customer. And he can fire everybody in the company, from the chairman on down, simply by spending his money somewhere else.	Sam Walton
Whatever you’re thinking, think bigger.	Tony Hsieh
You have to have more leadership, less management. It’s about getting stuff done, you can sit around and analyze things forever but while you do that the competition has moved on.	Peter Vesterbacka
I never took a day off in my twenties. Not one.	Bill Gates
We’re not very good at knowing what we want, and we are very quick to say, ‘This sucks.’ That’s where the opportunity lies.	Gary Vaynerchuk
I’m convinced that about half of what separates the successful entrepreneurs from the non-successful ones is pure perseverance.	Steve Jobs
Opportunity is missed by most people because it is dressed in overalls and looks like work.	Thomas Edison
The most dangerous poison is the feeling of achievement. The antidote is to every evening think what can be done better tomorrow.	Ingvar Kamprad
Whether you think you can or think you can’t, you’re right.	Henry Ford
Ideas are a commodity. Execution of them is not.	Michael Dell
Timing, perseverance, and ten years of trying will eventually make you look like an overnight success.	Biz Stone
It’s hard to do a really good job on anything you don’t think about in the shower.	Paul Graham
Waiting for perfect is never as smart as making progress.	Seth Godin
Being the richest man in the cemetery doesn’t matter to me. Going to bed at night saying we’ve done something wonderful, that’s what matters to me.	Steve Jobs
If other people are putting in 40-hour workweeks, and you’re putting in 100-hour workweeks, then, even if you’re doing the same thing, you will achieve in four months what it takes them a year to achieve.	Elon Musk
Real artists ship.	Steve Jobs
Usage is like oxygen for ideas.	Matt Mullenweg
One of the metaphors that I use for startups is you throw yourself off a cliff and assemble an airplane on the way down. And part of that is the urgency of what you are doing, and it’s the focus on the work. But sometimes you have to be very creative; you have to be very nimble and agile in terms of how you do it.	Reid Hoffman
Life is a team sport. And, as much as entrepreneurs look like individuals who explore the desert by themselves in order to find riches, they are actually successful based upon their ability to find, build, connect, and collaborate with important networks.	Reid Hoffman
Whatever the situation, actions, not plans, generate lessons that help you test your hypotheses against reality.	Reid Hoffman
The fastest way to change yourself is to hang out with people who are already the way you want to be.	Reid Hoffman
When you’re doing work you care about, you are able to work harder and better.	Reid Hoffman
A lot of people seem to think that behind every great start-up is a single entrepreneur with an idea. The reality is, great companies are built by a number of people with talent who are surrounded by supportive networks.	Reid Hoffman
Part of your identity is saying not only what you will be but also what you won’t.	Reid Hoffman
Rules of entrepreneurship are guidelines, not laws of nature.	Reid Hoffman
If you don’t start out aiming for the big game, you almost never can get there.	Reid Hoffman
So what you need is…people who are creative. You need people who are truth seeking. And you need to have people who are very honest with each other, but also fun, hard working, and want to win.	Reid Hoffman
…the key things to shorten the [length of time for] getting to the market with a minimum viable product… I had learned from SocialNet and PayPal. As opposed to waiting for a perfect product, you actually want to be launching the minimum viable product, the thinnest possible product, and then you iterate and develop.	Reid Hoffman
Tackling those early hypotheses as soon as you can is extremely important.	Reid Hoffman
The actual winning strategy is “I’m moving, I’m getting out there and I’m adapting at a fast rate.”	Reid Hoffman
Don’t enter a crowded market.	Reid Hoffman
Pay attention to your culture and your hires from the very beginning.	Reid Hoffman
Having a great idea for a product is important, but having a great idea for product distribution is even more important.	Reid Hoffman
Good ideas need good strategy to realize their potential.	Reid Hoffman
A product needs to be sufficiently innovative to distinguish itself from the pack, but not so forward thinking as to alienate the user.	Reid Hoffman
Every Net entrepreneur should answer these questions: How do we get to one million users? Then how do we get to 10 million users? Then how will you get deep engagement by your users.	Reid Hoffman
In real estate the wisdom says “location, location, location.” In consumer Internet, think “distribution, distribution, distribution.”	Reid Hoffman
I lose interest when things don’t have scale.	Reid Hoffman
One thing I learned in ’97, when I thought the right time to found a company was during a swing-up, is that it’s much better to start during an economic downturn. Partnerships are easier; hiring is easier; and the competition starts later.	Reid Hoffman
A networker likes to meet people. I don’t. I like accomplishing things in the world. You meet people when you want to accomplish something.	Reid Hoffman
You have to be constantly reinventing yourself and investing in the future.	Reid Hoffman
I actually think every individual is now an entrepreneur, whether they recognize it or not.	Reid Hoffman
Silicon Valley is a mindset, not a location.	Reid Hoffman
And people who take risk intelligently can usually actually make a lot more progress than people who don’t.	Reid Hoffman
Love those close to you.Failure of your company is not failure in life. Failure in your relationships is.	Evan Williams
Take care of yourself. When you don’t sleep, eat crap, don’t exercise, and are living off adrenaline for too long, your performance suffers. Your decisions suffer. Your company suffers.	Evan Williams
Focus. Say no to most things: Features. People. Partnerships. “Coffees.” Projects. Only a few of them really matter. (Yes, it’s hard to know which.) Don’t get distracted.	Evan Williams
Take on big challenges. It’s pretty simple: Hard things are valuable; easy things are not so valuable. Reaching the mountaintop is rewarding because it is hard. If it was easy, everybody would do it.	Evan Williams
Work with amazing people. Don’t compromise on who you choose to found your company with and hire. Do not put up with ego-centric personalities or downer attitudes.	Evan Williams
Designing a product is keeping five thousand things in your brain and fitting them all together in new and different ways to get what you want. And every day you discover something new that is a new problem or a new opportunity to fit these things together a little differently. And it’s that process that is the magic.	Steve Jobs
Designing a product from scratch is always hard.	Evan Williams
Nothing clarifies focus like a date. (Or: If you don’t have a tough constraint, make one up.)	Evan Williams
Even if they’re awesome, having too big of a team will slow you down.	Evan Williams
Luck comes in many forms—and often looks bad at first.	Evan Williams
When you’re obsessing about one thing, you can reach insights about how to solve hard problems. If you have too many things to think about, you’ll get to the superficial solution, not the brilliant one.	Evan Williams
I think one of the things that kills great things so often is compromise—letting people talk you out of what your gut is telling you.	Evan Williams
User experience is everything. It always has been, but it’s still undervalued and under-invested in. If you don’t know user-centered design, study it. Hire people who know it. Obsess over it. Live and breathe it. Get your whole company on board.	Evan Williams
Be a user of your own product. Make it better based on your own desires. But don’t trick yourself into thinking you are your user.	Evan Williams
I was surprised by the success of something so simple. That’s a mantra for many people in the technology world—simplicity. But what we built wasn’t that amazing. It was the idea of putting a couple of things together and being able to establish a lead by doing something really, really simple. How far you can get on a simple idea is amazing… Simplicity is powerful.	Evan Williams
…realize that no sufficiently interesting space will be limited to one player. In a sense, competition actually is good—especially to legitimize new markets.	Evan Williams
If you want to build a billion-dollar internet company, take a human desire, preferably one that has been around for a really long time, identify that desire and use modern technology to take out steps.	Evan Williams
If you study what the really big things on the internet are, you realize they are masters at making things fast and not making people think.	Evan Williams
We often think of the internet enables you to do new things, but people just want to do the same things they’ve always done.	Evan Williams
Creativity comes from constraint.	Evan Williams
Our problem wasn’t that it blew up and was impossible to scale, but there were some bad choices made. One of the biggest lessons time after time was to focus. Do fewer things.	Evan Williams
Entrepreneur is someone who has a vision for something and a want to create.	David Karp
There are a lot of rich people in the world. There are very few people who have the privilege of getting to invent things that billions of people use.	David Karp
Where I feel the most productive and engaged is when I’m buried in code, buried in some project, tweaking some designs. I’m certainly introverted.	David Karp
Don’t be scared to try new things, but remember to hold on to the vision of your company and the initial successes that defined your brand.	Ryan Holmes
Hammer down product fundamentals first. Make sure you’ve got something that works before doubling down on promotion and marketing.	Ryan Holmes
Entrepreneurs, by disposition, are built to think big. When a role no longer affords those opportunities, it might be best to leave it in capable hands and move on.	Ryan Holmes
One of the primary failings of many new apps and tools is that they tend to throw everything but the kitchen sink at the user.	Ryan Holmes
I would rather die of passion than of boredom.	Vincent van Gogh
I promise you, a lot of it is luck. But you make your own luck by working really hard and trying lots and lots of things.	Kevin Systrom
Find a crew that loves what you’re doing.	Kevin Systrom
We were like ‘let’s focus on one thing’ – and that ended-up being photos.	Kevin Systrom
Nobody gets it right the first time, so fail quickly and fail often and learn from each of the steps in order to create a winning strategy.	Kevin Systrom
Create the minimum you can in order to test the hypothesis of whether your business will succeed or not. Polish, and bells & whistles are great, but if you focus on answering whether your fundamental assumptions are correct, you’ll be much better off in the long run.	Kevin Systrom
Start with solving a problem instead of having a technology and then searching for problems it might solve. When you create a problem driven business your roadmap dictates itself.	Kevin Systrom
The best companies come from people who focus on company building, not just product building.	Kevin Systrom
People don’t realize when you start a startup, you’re not just starting a product — you’re starting a company.	Kevin Systrom
I think it’s important to hear feedback, sometimes you just don’t need to listen to it.	Kevin Systrom
Far too many startups are technologies in search of a problem.	Kevin Systrom
It turns out when you make really nice stuff that people love, they will spread it to their friends because they’ll rave about it, they’ll tell people about it.	Kevin Systrom
Team building is one of the most important things when you get off the ground.	Kevin Systrom
I don’t think you should ever start a business and move in a direction where you can’t see it becoming a business.	Kevin Systrom
Fear…is the one thing that keeps people from doing the biggest things in the world.	Kevin Systrom
The problem with stealth startups is that you don’t get the feedback you need quickly enough.	Kevin Systrom
